epoch,eval_return
1,-21.0
2,-21.0
3,-21.0
4,-20.666666666666668
5,-21.0
6,-20.666666666666668
7,-21.0
8,-21.0
9,-21.0
10,-21.0
11,-21.0
12,-21.0
13,-21.0
14,-21.0
15,-21.0
16,-21.0
17,-21.0
18,-21.0
19,-20.666666666666668
20,-21.0
